CAM Rx Time World.node[1].appl.middleware.ExampleService (#0 - veins-0-20210525-10:05:24-61334),,CAM Rx Time World.node[0].appl.middleware.ExampleService (#0 - veins-0-20210525-10:05:24-61334),
0.116459010766,0.116459010765999986,0.117059021533,0.117059021532999989
0.226456032583,0.226456032583000009,0.227147043635,0.227147043634999988
0.336453055147,0.336453055146999967,0.337092066662,0.337092066661999976
0.446463078794,0.446463078793999932,0.44705009093,0.447050090929999919
1.446453112732,1.446453112731999715,1.447183134542,1.447183134542000087
2.446456168512,2.446456168511999415,2.447160202491,2.447160202491000182
3.446459249218,3.446459249217999937,3.447111295954,3.44711129595399955
4.44646235565,4.446462355649998687,4.447088415354,4.4470884153539991
5.446465487325,5.44646548732499978,5.447026559303,5.44702655930299959
6.446455644516,6.446455644515999925,6.447094729737,6.447094729736999565
7.446458828194,7.446458828194000255,7.447123926659,7.447123926658999655
8.446462038368,8.44646203836800066,8.447114150086,8.44711415008599783
9.446465275038,9.44646527503799756,9.447143399999,9.44714339999899973
10.446455538188,10.44645553818799751,10.447120676385,10.4471206763849977
11.446458827818,11.4464588278179988,11.447188979261,11.44718897926099994
12.446462143936,12.44646214393599943,12.44717930862,12.44717930862000082
13.446465486526,13.44646548652599798,13.447169664442,13.4471696644420006
14.446455855588,14.4464558555879989,14.447030046742,14.44703004674200025
15.44645925113,15.44645925112999757,15.447020455526,15.4470204555259975
16.446462673161,16.44646267316100102,16.447127890805,16.44712789080499952
17.446453121679,17.44645312167899926,17.44698835256,17.44698835255999818
18.446456596675,18.44645659667499862,18.447134840799,18.44713484079899495
19.446460098158,19.44646009815799907,19.447138355526,19.44713835552600038
